cost_bps_side,trades,pnl,return_pct,pf,max_dd,wins,losses,rejects
5.0,440,403.64705322053953,0.08072941064410388,1.2222319119710328,0.037833925664684354,236,204,145
10.0,439,168.07831493312003,0.03361566298662666,1.0881671685487935,0.04243266340330121,231,208,146
20.0,395,-371.03434693118527,-0.07420686938623566,0.7941168096414155,0.08079238232089436,198,197,190
30.0,172,-406.8351157594593,-0.08136702315189392,0.5428293399786,0.08136702315189392,78,94,413
