period,strategy,config,max_positions,max_open_risk_pct,max_gross_exposure_pct,opportunities,accepted_trades,rejected_opportunities,acceptance_pct,portfolio_total_return_pct,closed_event_max_drawdown_pct,return_over_mdd,positive_trade_pct,avg_allocation_at_entry_pct,median_allocation_at_entry_pct,universe,cost_bps_side
P1_2023_08_08_2024_08_07,SOR_E1_BE,P8_R8,8,8.0,100.0,22,21,1,95.45454545454545,-4.477397697034524,9.147222884904672,-0.4894816441417876,19.047619047619047,13.576654424853308,12.739130434782608,KOSPI40_PIT,5.0
P2_2024_08_08_2025_08_07,SOR_E1_BE,P8_R8,8,8.0,100.0,23,21,2,91.30434782608695,0.7457429752645517,7.546476546951409,0.09882002158554558,33.33333333333333,12.312375826922366,12.509433962264152,KOSPI40_PIT,5.0
P3_2025_08_08_2026_08_17,SOR_E1_BE,P8_R8,8,8.0,100.0,47,37,10,78.72340425531915,3.7053685036963824,4.525695943996211,0.8187400456303136,43.24324324324324,8.654375540618883,8.33333243312766,KOSPI40_PIT,5.0
FULL_2023_08_08_2026_08_17,SOR_E1_BE,P8_R8,8,8.0,100.0,92,79,13,85.8695652173913,-0.1991848736535018,12.572290240645978,-0.015843165393170835,34.177215189873415,10.935209244179596,10.647540983606556,KOSPI40_PIT,5.0
P1_2023_08_08_2024_08_07,SOR_E1_BE,P8_R8,8,8.0,100.0,22,19,3,86.36363636363636,-0.7746485361559419,3.845359675323534,-0.20145021573066915,36.84210526315789,8.469369995957381,7.454545454545455,KOSDAQ40_PIT,5.0
P2_2024_08_08_2025_08_07,SOR_E1_BE,P8_R8,8,8.0,100.0,14,10,4,71.42857142857143,4.647710102472868,0.7097237544749668,6.548618491586364,70.0,9.85423948913123,6.539599236641221,KOSDAQ40_PIT,5.0
P3_2025_08_08_2026_08_17,SOR_E1_BE,P8_R8,8,8.0,100.0,23,20,3,86.95652173913044,0.10513456275842437,4.211672290389701,0.024962664592476258,35.0,6.3505381746255605,6.029419097481925,KOSDAQ40_PIT,5.0
FULL_2023_08_08_2026_08_17,SOR_E1_BE,P8_R8,8,8.0,100.0,59,49,10,83.05084745762711,3.1269604881848823,3.845359675323534,0.8131776354371302,40.816326530612244,7.887167108306403,6.900000000000001,KOSDAQ40_PIT,5.0
P1_2023_08_08_2024_08_07,SOR_E1_BE,P8_R8,8,8.0,100.0,44,40,4,90.9090909090909,-5.140085004638628,10.565995405229444,-0.4864742797535799,27.500000000000004,11.150694321127743,11.042080350958209,KR80_PIT,5.0
P2_2024_08_08_2025_08_07,SOR_E1_BE,P8_R8,8,8.0,100.0,37,30,7,81.08108108108108,2.102580082913641,7.0214838566242,0.2994495360022835,43.333333333333336,11.384891056704214,10.681544256120528,KR80_PIT,5.0
P3_2025_08_08_2026_08_17,SOR_E1_BE,P8_R8,8,8.0,100.0,70,45,25,64.28571428571429,1.3410919795500353,3.2835446816689595,0.4084281194761709,40.0,7.796317331033244,7.299019607843137,KR80_PIT,5.0
FULL_2023_08_08_2026_08_17,SOR_E1_BE,P8_R8,8,8.0,100.0,151,115,36,76.15894039735099,-2.5858555718908383,12.523323751672677,-0.20648316877901193,35.65217391304348,9.899206821241147,9.090909090909092,KR80_PIT,5.0
P1_2023_08_08_2024_08_07,SOR_E1_BE,P8_R8,8,8.0,100.0,22,21,1,95.45454545454545,-4.745009199340777,9.298117355451952,-0.5103193493851248,19.047619047619047,13.576654424853308,12.73913043478261,KOSPI40_PIT,10.0
P2_2024_08_08_2025_08_07,SOR_E1_BE,P8_R8,8,8.0,100.0,23,21,2,91.30434782608695,0.487530142361714,7.703514887411811,0.0632867138555647,33.33333333333333,12.312375826922365,12.509433962264152,KOSPI40_PIT,10.0
P3_2025_08_08_2026_08_17,SOR_E1_BE,P8_R8,8,8.0,100.0,47,37,10,78.72340425531915,3.3762386524086585,4.62200365006572,0.7304707888667834,43.24324324324324,8.654375540618883,8.333332433127659,KOSPI40_PIT,10.0
FULL_2023_08_08_2026_08_17,SOR_E1_BE,P8_R8,8,8.0,100.0,92,79,13,85.8695652173913,-1.0488974453227384,12.893653378465242,-0.0813499025089808,34.177215189873415,10.935209244179596,10.647540983606556,KOSPI40_PIT,10.0
P1_2023_08_08_2024_08_07,SOR_E1_BE,P8_R8,8,8.0,100.0,22,19,3,86.36363636363636,-0.9334904250183129,3.9570398413860897,-0.2359062487203378,36.84210526315789,8.469369995957381,7.454545454545454,KOSDAQ40_PIT,10.0
P2_2024_08_08_2025_08_07,SOR_E1_BE,P8_R8,8,8.0,100.0,14,10,4,71.42857142857143,4.541330519550968,0.7213227024547741,6.295837499771058,70.0,9.854239489131228,6.539599236641221,KOSDAQ40_PIT,10.0
P3_2025_08_08_2026_08_17,SOR_E1_BE,P8_R8,8,8.0,100.0,23,20,3,86.95652173913044,-0.02028074507887112,4.252672288341852,-0.00476894143347658,35.0,6.350538174625561,6.029419097481925,KOSDAQ40_PIT,10.0
FULL_2023_08_08_2026_08_17,SOR_E1_BE,P8_R8,8,8.0,100.0,59,49,10,83.05084745762711,2.7291825812848503,3.9570398413860897,0.6897030837902456,40.816326530612244,7.887167108306403,6.9,KOSDAQ40_PIT,10.0
P1_2023_08_08_2024_08_07,SOR_E1_BE,P8_R8,8,8.0,100.0,44,40,4,90.9090909090909,-5.5533164493949405,10.896278915499602,-0.5096525605172908,27.500000000000004,11.150694321127743,11.042080350958207,KR80_PIT,10.0
P2_2024_08_08_2025_08_07,SOR_E1_BE,P8_R8,8,8.0,100.0,37,30,7,81.08108108108108,1.7560036406629065,7.240523761546225,0.24252439443523202,43.333333333333336,11.384891056704216,10.681544256120528,KR80_PIT,10.0
P3_2025_08_08_2026_08_17,SOR_E1_BE,P8_R8,8,8.0,100.0,70,45,25,64.28571428571429,0.9889671948386525,3.4861360460510804,0.28368577180426013,40.0,7.796317331033244,7.299019607843136,KR80_PIT,10.0
FULL_2023_08_08_2026_08_17,SOR_E1_BE,P8_R8,8,8.0,100.0,151,115,36,76.15894039735099,-3.6743808921616328,13.109017077218155,-0.2802941571071145,35.65217391304348,9.899206821241147,9.09090909090909,KR80_PIT,10.0
P1_2023_08_08_2024_08_07,SOR_E1_BE,P8_R8,8,8.0,100.0,22,21,1,95.45454545454545,-5.277593355167753,9.598888767114422,-0.5498129505624307,19.047619047619047,13.576654424853308,12.739130434782608,KOSPI40_PIT,20.0
P2_2024_08_08_2025_08_07,SOR_E1_BE,P8_R8,8,8.0,100.0,23,21,2,91.30434782608695,-0.026568329969933746,8.016565744902094,-0.0033141785167581416,33.33333333333333,12.312375826922366,12.509433962264152,KOSPI40_PIT,20.0
P3_2025_08_08_2026_08_17,SOR_E1_BE,P8_R8,8,8.0,100.0,47,37,10,78.72340425531915,2.72154075516724,4.8141770100088355,0.5653179659802839,43.24324324324324,8.654375540618883,8.333332433127659,KOSPI40_PIT,20.0
FULL_2023_08_08_2026_08_17,SOR_E1_BE,P8_R8,8,8.0,100.0,92,79,13,85.8695652173913,-2.7255355229494294,13.532367324207895,-0.20140862700894546,34.177215189873415,10.935209244179596,10.647540983606557,KOSPI40_PIT,20.0
P1_2023_08_08_2024_08_07,SOR_E1_BE,P8_R8,8,8.0,100.0,22,19,3,86.36363636363636,-1.250084538992724,4.179801424184992,-0.29907749486842533,36.84210526315789,8.469369995957381,7.454545454545455,KOSDAQ40_PIT,20.0
P2_2024_08_08_2025_08_07,SOR_E1_BE,P8_R8,8,8.0,100.0,14,10,4,71.42857142857143,4.3291166683925075,0.7444858710252467,5.814907759674194,70.0,9.85423948913123,6.539599236641221,KOSDAQ40_PIT,20.0
P3_2025_08_08_2026_08_17,SOR_E1_BE,P8_R8,8,8.0,100.0,23,20,3,86.95652173913044,-0.2704014972616853,4.334648542700581,-0.06238141214863506,30.0,6.3505381746255605,6.029419097481924,KOSDAQ40_PIT,20.0
FULL_2023_08_08_2026_08_17,SOR_E1_BE,P8_R8,8,8.0,100.0,59,49,10,83.05084745762711,1.9390154646162339,4.179801424184992,0.46390133593351673,38.775510204081634,7.887167108306403,6.9,KOSDAQ40_PIT,20.0
P1_2023_08_08_2024_08_07,SOR_E1_BE,P8_R8,8,8.0,100.0,44,40,4,90.9090909090909,-6.374078859127175,11.55289604252876,-0.5517299589352128,27.500000000000004,11.150694321127743,11.042080350958209,KR80_PIT,20.0
P2_2024_08_08_2025_08_07,SOR_E1_BE,P8_R8,8,8.0,100.0,37,30,7,81.08108108108108,1.0667984546812281,7.676763294085309,0.13896461487918493,43.333333333333336,11.384891056704213,10.68154425612053,KR80_PIT,20.0
P3_2025_08_08_2026_08_17,SOR_E1_BE,P8_R8,8,8.0,100.0,70,45,25,64.28571428571429,0.2889100375627507,3.932827259552485,0.07346115618503561,37.77777777777778,7.796317331033244,7.299019607843136,KR80_PIT,20.0
FULL_2023_08_08_2026_08_17,SOR_E1_BE,P8_R8,8,8.0,100.0,151,115,36,76.15894039735099,-5.813900484499945,14.268112571320446,-0.4074750921285938,34.78260869565217,9.899206821241147,9.090909090909092,KR80_PIT,20.0
