strategy,signal_time,entry_time,exit_time,entry_i,exit_i,entry_price,initial_stop,stop_source,pivot_time,risk_pct,entry_gap_atr,atr_ratio_setup,vol_ratio_setup,breakout_vol_ratio,exit_price_weighted,return_pct,r_multiple,tp1_hit,exit_reason,period,market,symbol,name,ticker,atr_ratio_max,cost_bps_side,priority_breakout_vol,priority_atr_ratio,priority_vol_ratio,notional,allocation_at_entry_pct,planned_risk_dollars,equity_at_entry,open_positions_after_entry,open_risk_pct_of_equity_after_entry,gross_exposure_pct_after_entry,config,portfolio_pnl,equity_before_exit,equity_after_exit,portfolio_return_on_exit_equity_pct,closed_event_drawdown_pct,universe
SOR_E1_BE,2023-08-28,2023-08-29,2023-09-13,407,418,144100.0,133900.0,pivot,2023-08-23,7.078417765440666,0.12658227848101267,0.7507109004739336,0.9764777781202815,1.5935805490784076,137600.0,-4.606197941972789,-0.6372549019607843,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSPI,018260,삼성에스디에스,018260.KS,0.9,5.0,1.5935805490784076,0.7507109004739336,0.9764777781202815,0.1412745098039216,14.127450980392158,0.01,1.0,1,1.0,14.127450980392158,P8_R8,-0.006507383563120383,1.0,0.9934926164368796,-0.6507383563120384,0.6507383563120417,KOSPI40_PIT
SOR_E1_BE,2023-11-28,2023-11-29,2023-12-08,468,475,267000.0,245000.0,pivot,2023-11-20,8.239700374531836,0.0,0.7342465753424657,0.749914553458927,1.1318756823266323,258000.0,-3.4673674398755683,-0.4090909090909091,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSPI,000810,삼성화재,000810.KS,0.9,5.0,1.1318756823266323,0.7342465753424657,0.749914553458927,0.1205738766312031,12.136363636363635,0.009934926164368795,0.9934926164368796,2,2.0000000000000004,25.178380443086326,P8_R8,-0.004180739339306073,0.9934926164368796,0.9893118770975735,-0.4208123211121712,1.068812290242649,KOSPI40_PIT
SOR_E1_BE,2023-12-26,2023-12-27,2023-12-28,487,488,85100.0,80700.0,pivot,2023-12-07,5.170387779083431,0.0,0.8913649025069638,0.9708812346932972,1.6181979128458097,83500.0,-1.9782118341534205,-0.36363636363636365,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSPI,003550,LG,003550.KS,0.9,5.0,1.6181979128458097,0.8913649025069638,0.9708812346932972,0.19134191077500795,19.34090909090909,0.009893118770975736,0.9893118770975735,3,3.008451812691406,56.372091007122,P8_R8,-0.0037851483226464862,0.9893118770975735,0.985526728774927,-0.3826041524692183,1.4473271225073026,KOSPI40_PIT
SOR_E1_BE,2023-11-24,2023-11-27,2024-01-04,466,491,155200.0,143300.0,pivot,2023-11-22,7.667525773195877,0.0,0.7865707434052758,0.6003675713203531,2.8210308489018994,163000.0,4.920799909323681,0.6554621848739496,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSPI,018260,삼성에스디에스,018260.KS,0.9,5.0,2.8210308489018994,0.7865707434052758,0.6003675713203531,0.12957147400924682,13.042016806722689,0.009934926164368797,0.9934926164368796,1,1.0000000000000002,13.042016806722689,P8_R8,0.006375952975556374,0.985526728774927,0.9919026817504834,0.6469589093217282,0.809731824951665,KOSPI40_PIT
SOR_E1_BE,2023-11-29,2023-11-30,2024-01-08,469,493,85800.0,82200.0,pivot,2023-11-22,4.195804195804196,0.0,0.8301886792452831,0.6036935937128003,1.2307714950941606,92500.0,7.701102828539108,1.8611111111111112,True,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSPI,000270,기아,000270.KS,0.9,5.0,1.2307714950941606,0.8301886792452831,0.6036935937128003,0.2367824069174563,23.833333333333336,0.009934926164368797,0.9934926164368796,3,3.0,49.011713776419654,P8_R8,0.01823485663660321,0.9919026817504834,1.0101375383870865,1.8383715431057026,-0.0,KOSPI40_PIT
SOR_E1_BE,2024-01-05,2024-01-08,2024-01-16,493,499,251000.0,223500.0,pivot,2023-12-26,10.95617529880478,0.0,0.8690807799442897,0.43955504767135845,1.0747941080378178,233500.0,-7.065092951532204,-0.6363636363636364,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSPI,352820,하이브,352820.KS,0.9,5.0,1.0747941080378178,0.8690807799442897,0.43955504767135845,0.09053366295249868,9.127272727272729,0.009919026817504834,0.9919026817504834,2,2.001602913991109,32.998808844060825,P8_R8,-0.006396287440020906,1.0101375383870865,1.0037412509470656,-0.6332095578027946,0.6332095578028052,KOSPI40_PIT
SOR_E1_BE,2024-02-19,2024-02-20,2024-02-28,522,528,102900.0,91600.0,pivot,2024-02-14,10.981535471331389,0.0,0.7300613496932515,0.9674672149547605,2.248529074872995,91600.0,-11.07050944887128,-1.0,False,initial_stop,P1_2023_08_08_2024_08_07,KOSPI,003550,LG,003550.KS,0.9,5.0,2.248529074872995,0.7300613496932515,0.9674672149547605,0.09140263249774608,9.106194690265488,0.010037412509470657,1.0037412509470656,1,1.0000000000000002,9.106194690265488,P8_R8,-0.01011873706718007,1.0037412509470656,0.9936225138798855,-1.0081021436184556,1.6349283022954464,KOSPI40_PIT
SOR_E1_BE,2024-02-27,2024-02-28,2024-03-04,528,530,165881.734375,152974.015625,pivot,2024-02-22,7.781277907801596,0.01968602517920913,0.8994809110419653,0.6298177211856067,1.8057504600711587,157334.734375,-5.2472661556844935,-0.6621619331456227,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSPI,068270,셀트리온,068270.KS,0.9,5.0,1.8057504600711587,0.8994809110419653,0.6298177211856067,0.1289943969152809,12.851359530513475,0.010037412509470654,1.0037412509470656,2,2.0,21.957554220778963,P8_R8,-0.006768679332064856,0.9936225138798855,0.9868538345478207,-0.6812123555488488,2.305003324244692,KOSPI40_PIT
SOR_E1_BE,2024-03-13,2024-03-14,2024-03-28,538,548,75900.0,59700.0,pivot,2024-02-26,21.343873517786562,0.0,0.8235294117647058,0.9195262090711209,1.4332674641736158,70000.0,-7.865566557959491,-0.36419753086419754,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSPI,105560,KB금융,105560.KS,0.9,5.0,1.4332674641736158,0.8235294117647058,0.9195262090711209,0.04623592965566641,4.685185185185185,0.009868538345478208,0.9868538345478207,1,1.0000000000000002,4.685185185185185,P8_R8,-0.0036367178207577723,0.9868538345478207,0.9832171167270629,-0.36851635910439834,2.6650253690213455,KOSPI40_PIT
SOR_E1_BE,2024-03-14,2024-03-15,2024-03-28,539,548,63200.0,58100.0,pivot,2024-03-11,8.069620253164556,0.0,0.7779690189328744,0.7743960688148315,1.4533753049831961,58700.0,-7.2130864947273166,-0.8823529411764706,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSPI,086790,하나금융지주,086790.KS,0.9,5.0,1.4533753049831961,0.7779690189328744,0.7743960688148315,0.12229247518318093,12.3921568627451,0.009868538345478208,0.9868538345478207,4,4.000000000000001,59.82271900383355,P8_R8,-0.008821062011505778,0.9832171167270629,0.9743960547155571,-0.8971631861810304,3.5382789286891314,KOSPI40_PIT
