strategy,signal_time,entry_time,exit_time,entry_i,exit_i,entry_price,initial_stop,stop_source,pivot_time,risk_pct,entry_gap_atr,atr_ratio_setup,vol_ratio_setup,breakout_vol_ratio,exit_price_weighted,return_pct,r_multiple,tp1_hit,exit_reason,period,market,symbol,name,ticker,atr_ratio_max,cost_bps_side,priority_breakout_vol,priority_atr_ratio,priority_vol_ratio
SOR_E1_BE,2024-05-13,2024-05-14,2024-05-17,578,580,143800.0,133100.0,pivot,2024-05-07,7.440890125173852,0.04950495049504951,0.808326105810928,0.8655252331225916,1.8500501597287913,131100.0,-8.922833437245203,-1.1869158878504673,False,initial_stop,P1_2023_08_08_2024_08_07,KOSPI,329180,HD현대중공업,329180.KS,0.9,5.0,1.8500501597287913,0.808326105810928,0.8655252331225916
SOR_E1_BE,2023-11-28,2023-11-29,2023-12-08,468,475,267000.0,245000.0,pivot,2023-11-20,8.239700374531836,0.0,0.7342465753424657,0.749914553458927,1.1318756823266323,258000.0,-3.4673674398755683,-0.4090909090909091,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSPI,000810,삼성화재,000810.KS,0.9,5.0,1.1318756823266323,0.7342465753424657,0.749914553458927
SOR_E1_BE,2024-03-14,2024-03-15,2024-03-28,539,548,63200.0,58100.0,pivot,2024-03-11,8.069620253164556,0.0,0.7779690189328744,0.7743960688148315,1.4533753049831961,58700.0,-7.2130864947273166,-0.8823529411764706,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSPI,086790,하나금융지주,086790.KS,0.9,5.0,1.4533753049831961,0.7779690189328744,0.7743960688148315
SOR_E1_BE,2024-01-05,2024-01-08,2024-01-16,493,499,251000.0,223500.0,pivot,2023-12-26,10.95617529880478,0.0,0.8690807799442897,0.43955504767135845,1.0747941080378178,233500.0,-7.065092951532204,-0.6363636363636364,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSPI,352820,하이브,352820.KS,0.9,5.0,1.0747941080378178,0.8690807799442897,0.43955504767135845
SOR_E1_BE,2023-08-28,2023-08-29,2023-09-13,407,418,144100.0,133900.0,pivot,2023-08-23,7.078417765440666,0.12658227848101267,0.7507109004739336,0.9764777781202815,1.5935805490784076,137600.0,-4.606197941972789,-0.6372549019607843,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSPI,018260,삼성에스디에스,018260.KS,0.9,5.0,1.5935805490784076,0.7507109004739336,0.9764777781202815
SOR_E1_BE,2023-11-24,2023-11-27,2024-01-04,466,491,155200.0,143300.0,pivot,2023-11-22,7.667525773195877,0.0,0.7865707434052758,0.6003675713203531,2.8210308489018994,163000.0,4.920799909323681,0.6554621848739496,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSPI,018260,삼성에스디에스,018260.KS,0.9,5.0,2.8210308489018994,0.7865707434052758,0.6003675713203531
SOR_E1_BE,2024-03-14,2024-03-15,2024-04-01,539,550,54000.0,52100.0,pivot,2024-03-12,3.5185185185185186,0.0,0.7417218543046358,0.923998663648131,2.4496524190869184,52500.0,-2.874951413182303,-0.7894736842105263,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSPI,017670,SK텔레콤,017670.KS,0.9,5.0,2.4496524190869184,0.7417218543046358,0.923998663648131
SOR_E1_BE,2024-05-13,2024-05-14,2024-05-23,578,584,137200.0,127100.0,pivot,2024-05-07,7.3615160349854225,0.18329938900203666,0.6960167714884696,0.7247126189068246,1.8733195550540847,127800.0,-6.94441409033093,-0.9306930693069307,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSPI,009540,HD한국조선해양,009540.KS,0.9,5.0,1.8733195550540847,0.6960167714884696,0.7247126189068246
SOR_E1_BE,2024-05-16,2024-05-17,2024-05-22,580,583,137800.0,128900.0,pivot,2024-05-10,6.4586357039187225,0.021344717182497332,0.779874213836478,0.8989689505362849,1.123691632750322,128900.0,-6.552130320906302,-1.0,False,initial_stop,P1_2023_08_08_2024_08_07,KOSPI,009540,HD한국조선해양,009540.KS,0.9,5.0,1.123691632750322,0.779874213836478,0.8989689505362849
SOR_E1_BE,2024-06-14,2024-06-17,2024-08-06,600,636,139000.0,131400.0,pivot,2024-06-12,5.467625899280575,0.023337222870478413,0.8294478527607362,0.8151054904454301,1.7345845178983836,168850.0,21.35340603079756,3.9276315789473686,True,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSPI,009540,HD한국조선해양,009540.KS,0.9,5.0,1.7345845178983836,0.8294478527607362,0.8151054904454301
SOR_E1_BE,2024-02-19,2024-02-20,2024-04-03,522,552,79300.0,63000.0,pivot,2024-02-01,20.55485498108449,0.08183306055646482,0.7219343696027634,0.6536935299742671,1.8481187248309576,105550.0,32.969108131936565,1.6104294478527608,True,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSDAQ,028300,HLB,028300.KQ,0.9,5.0,1.8481187248309576,0.7219343696027634,0.6536935299742671
SOR_E1_BE,2024-03-08,2024-03-11,2024-04-03,535,552,98700.0,76900.0,pivot,2024-03-06,22.087132725430596,0.125,0.8522613065326633,0.60899944964839,3.717898627783626,99200.0,0.40612925553435986,0.022935779816513763,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSDAQ,028300,HLB,028300.KQ,0.9,5.0,3.717898627783626,0.8522613065326633,0.60899944964839
