universe,period,cost_bps_side,trades,wins,losses,win_rate_pct,avg_return_pct,median_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor_asset_returns,expectancy_pct,best_trade_pct,worst_trade_pct,tp1_hit_rate_pct,avg_risk_pct,portfolio_total_return_pct,closed_event_max_drawdown_pct,return_over_mdd_closed,opportunities,accepted_trades,acceptance_pct
KOSPI40_PIT,P1_2023_08_08_2024_08_07,5.0,21,4,17,19.047619047619047,-2.8052151824993374,-4.077767714549996,8.705850480639482,-5.5137012208849425,1.578948537810361,0.3715173030142026,-2.8052151824993374,21.35340603079756,-11.07050944887128,9.523809523809524,8.507330614253155,-4.477397697034524,9.147222884904672,-0.4894816441417876,22,21,95.45454545454545
KOSPI40_PIT,P2_2024_08_08_2025_08_07,5.0,21,7,14,33.333333333333336,1.4166828056281537,-2.66618984085939,14.510360439267648,-5.130156011191594,2.828444282710477,1.4142221413552385,1.4166828056281537,34.81809252113759,-13.531889517426155,19.047619047619047,9.524116370510802,0.7457429752645517,7.546476546951409,0.09882002158554558,23,21,91.30434782608695
KOSPI40_PIT,P3_2025_08_08_2026_08_17,5.0,37,16,21,43.24324324324324,0.9301859527465213,-2.4644482492481634,12.212785592386627,-7.666080439360225,1.5930938488046766,1.2137857895654678,0.9301859527465213,45.003593664826425,-20.984642553482413,21.62162162162162,13.676880044612346,3.7053685036963824,4.525695943996211,0.8187400456303136,47,37,78.72340425531915
KOSPI40_PIT,FULL_2023_08_08_2026_08_17,5.0,79,27,52,34.177215189873415,0.06655316882691663,-3.17379771652635,12.288907202800647,-6.279669118044059,1.9569354645596833,1.016101106598297,0.06655316882691663,45.003593664826425,-20.984642553482413,17.72151898734177,11.198796814312658,-0.1991848736535018,12.572290240645978,-0.015843165393170835,92,79,85.8695652173913
KOSDAQ40_PIT,P1_2023_08_08_2024_08_07,5.0,19,7,12,36.8421052631579,-0.46358147875616607,-4.148530997659061,11.673884042661772,-7.543769699583298,1.5474868013675727,0.902700634131084,-0.46358147875616607,32.969108131936565,-14.22776429581818,15.789473684210526,13.550911039589742,-0.7746485361559419,3.845359675323534,-0.20145021573066915,22,19,86.36363636363636
KOSDAQ40_PIT,P2_2024_08_08_2025_08_07,5.0,10,7,3,70.0,5.091378411077276,4.261582515074225,11.348707437955495,-9.509055984971903,1.1934631004266854,2.784747234328932,5.091378411077276,22.73965247859342,-12.518717705367488,20.0,15.709389363164792,4.647710102472868,0.7097237544749668,6.548618491586364,14,10,71.42857142857143
KOSDAQ40_PIT,P3_2025_08_08_2026_08_17,5.0,20,7,13,35.0,0.4533749705068388,-5.448834433374289,15.945255016508415,-7.888406592724781,2.021353086846994,1.0884208929176122,0.4533749705068388,38.01576135009419,-20.946861280103747,15.0,17.500848501451927,0.10513456275842437,4.211672290389701,0.024962664592476258,23,20,86.95652173913044
KOSDAQ40_PIT,FULL_2023_08_08_2026_08_17,5.0,49,20,29,40.816326530612244,0.598732473587144,-4.148530997659061,13.474676848265787,-8.281229164122266,1.627134883145572,1.1221619883762566,0.598732473587144,38.01576135009419,-20.946861280103747,16.3265306122449,15.603636192099824,3.1269604881848823,3.845359675323534,0.8131776354371302,59,49,83.05084745762711
KR80_PIT,P1_2023_08_08_2024_08_07,5.0,40,11,29,27.5,-1.692939173221331,-4.113149356104529,10.594599111017304,-6.353729556898056,1.667461451757112,0.6324853782526977,-1.692939173221331,32.969108131936565,-14.22776429581818,12.5,10.903031316288033,-5.140085004638628,10.565995405229444,-0.4864742797535799,44,40,90.9090909090909
KR80_PIT,P2_2024_08_08_2025_08_07,5.0,30,13,17,43.333333333333336,2.002349709113773,-0.9562526540114691,12.33998795269317,-5.90290306538812,2.0904947643557157,1.5986136433308415,2.002349709113773,34.81809252113759,-13.531889517426155,16.666666666666664,11.689058866126777,2.102580082913641,7.0214838566242,0.2994495360022835,37,30,81.08108108108108
KR80_PIT,P3_2025_08_08_2026_08_17,5.0,45,18,27,40.0,0.023034398305935275,-2.4644482492481634,11.452818007990382,-7.596821341483697,1.5075802751145904,1.0050535167430603,0.023034398305935275,45.003593664826425,-20.946861280103747,17.77777777777778,15.196463496150567,1.3410919795500353,3.2835446816689595,0.4084281194761709,70,45,64.28571428571429
KR80_PIT,FULL_2023_08_08_2026_08_17,5.0,115,41,74,35.65217391304348,-0.24735540826474176,-3.17379771652635,11.70316510330401,-6.8685897457555365,1.7038672473539436,0.9440345559663741,-0.24735540826474176,45.003593664826425,-20.946861280103747,15.65217391304348,12.788120660540002,-2.5858555718908383,12.523323751672677,-0.20648316877901193,151,115,76.15894039735099
KOSPI40_PIT,P1_2023_08_08_2024_08_07,10.0,21,4,17,19.047619047619047,-2.90236144275983,-4.17364205760109,8.597198901622566,-5.6081403473203935,1.5329856902975625,0.3607025153641324,-2.90236144275983,21.23211321053049,-11.159394541318745,9.523809523809524,8.507330614253155,-4.745009199340777,9.298117355451952,-0.5103193493851248,22,21,95.45454545454545
KOSPI40_PIT,P2_2024_08_08_2025_08_07,10.0,21,7,14,33.333333333333336,1.3153167551647371,-2.763475057053022,14.395907248197322,-5.224978491351556,2.7552089012472667,1.3776044506236333,1.3153167551647371,34.68334173663328,-13.618314458650593,19.047619047619047,9.524116370510802,0.487530142361714,7.703514887411811,0.0632867138555647,23,21,91.30434782608695
KOSPI40_PIT,P3_2025_08_08_2026_08_17,10.0,37,16,21,43.24324324324324,0.8293061562521337,-2.561935106313795,12.100628829097516,-7.758368261153873,1.5596873494244055,1.1883332186090707,0.8293061562521337,44.85866246429629,-21.063618462462387,21.62162162162162,13.676880044612346,3.3762386524086585,4.62200365006572,0.7304707888667834,47,37,78.72340425531915
KOSPI40_PIT,FULL_2023_08_08_2026_08_17,10.0,79,27,52,34.177215189873415,-0.03346342605275952,-3.2705755782678647,12.176674355904883,-6.3733426589923035,1.9105632644315018,0.9920232334548184,-0.03346342605275952,44.85866246429629,-21.063618462462387,17.72151898734177,11.198796814312658,-1.0488974453227384,12.893653378465242,-0.0813499025089808,92,79,85.8695652173913
KOSDAQ40_PIT,P1_2023_08_08_2024_08_07,10.0,19,7,12,36.8421052631579,-0.5630682036583189,-4.24433461275564,11.562265911875446,-7.6361797710530155,1.514142707287394,0.8832499125843133,-0.5630682036583189,32.8362054087149,-14.313493709680147,15.789473684210526,13.550911039589742,-0.9334904250183129,3.9570398413860897,-0.2359062487203378,22,19,86.36363636363636
KOSDAQ40_PIT,P2_2024_08_08_2025_08_07,10.0,10,7,3,70.0,4.986339499602477,4.157372985219309,11.237414321429242,-9.599501751326644,1.1706247482976124,2.731457746027762,4.986339499602477,22.61697410396295,-12.606155312577316,20.0,15.709389363164792,4.541330519550968,0.7213227024547741,6.295837499771058,14,10,71.42857142857143
KOSDAQ40_PIT,P3_2025_08_08_2026_08_17,10.0,20,7,13,35.0,0.3529717469465041,-5.543338394212471,15.82936764723286,-7.980472199361534,1.9835126608797993,1.0680452789352766,0.3529717469465041,37.87781449319914,-21.02587495149477,15.0,17.500848501451927,-0.02028074507887112,4.252672288341852,-0.00476894143347658,23,20,86.95652173913044
KOSDAQ40_PIT,FULL_2023_08_08_2026_08_17,10.0,49,20,29,40.816326530612244,0.49818396509355056,-4.24433461275564,13.361258823720783,-8.37290214430454,1.5957739136852866,1.1005337335760597,0.49818396509355056,37.87781449319914,-21.02587495149477,16.3265306122449,15.603636192099824,2.7291825812848503,3.9570398413860897,0.6897030837902456,59,49,83.05084745762711
KR80_PIT,P1_2023_08_08_2024_08_07,10.0,40,11,29,27.5,-1.7911971541866123,-4.208988335178365,10.484059726328944,-6.447329074382168,1.6261089833286673,0.6167999591936324,-1.7911971541866123,32.8362054087149,-14.313493709680147,12.5,10.903031316288033,-5.5533164493949405,10.896278915499602,-0.5096525605172908,44,40,90.9090909090909
KR80_PIT,P2_2024_08_08_2025_08_07,10.0,30,13,17,43.333333333333336,1.900398284141435,-1.0552469537047415,12.227704050549598,-5.996953184288335,2.038986077561096,1.5592246475467206,1.900398284141435,34.68334173663328,-13.618314458650593,16.666666666666664,11.689058866126777,1.7560036406629065,7.240523761546225,0.24252439443523202,37,30,81.08108108108108
KR80_PIT,P3_2025_08_08_2026_08_17,10.0,45,18,27,40.0,-0.07693869952999484,-2.561935106313795,11.341420832871371,-7.689178387797573,1.4749847462077048,0.98332316413847,-0.07693869952999484,44.85866246429629,-21.02587495149477,17.77777777777778,15.196463496150567,0.9889671948386525,3.4861360460510804,0.28368577180426013,70,45,64.28571428571429
KR80_PIT,FULL_2023_08_08_2026_08_17,10.0,115,41,74,35.65217391304348,-0.3470582512863828,-3.2705755782678647,11.591517706075626,-6.9616746600950625,1.6650473157729182,0.9225262154958059,-0.3470582512863828,44.85866246429629,-21.02587495149477,15.65217391304348,12.788120660540002,-3.6743808921616328,13.109017077218155,-0.2802941571071145,151,115,76.15894039735099
KOSPI40_PIT,P1_2023_08_08_2024_08_07,20.0,21,4,17,19.047619047619047,-3.0963631062141994,-4.36510369477201,8.380221047717502,-5.796735848315776,1.4456793041815679,0.340159836278016,-3.0963631062141994,20.989890722152804,-11.336898603182366,9.523809523809524,8.507330614253155,-5.277593355167753,9.598888767114422,-0.5498129505624307,22,21,95.45454545454545
KOSPI40_PIT,P2_2024_08_08_2025_08_07,20.0,21,7,14,33.333333333333336,1.112888145406934,-2.957754216337971,14.167343540281419,-5.414339552030308,2.616633737898623,1.3083168689493112,1.112888145406934,34.414243613087294,-13.790905583790403,19.047619047619047,9.524116370510802,-0.026568329969933746,8.016565744902094,-0.0033141785167581416,23,21,91.30434782608695
KOSPI40_PIT,P3_2025_08_08_2026_08_17,20.0,37,16,21,43.24324324324324,0.6278485985821692,-2.7566169436275323,11.876651101211735,-7.942667593897501,1.4952975131852158,1.1392742957601645,0.6278485985821692,44.56923398898602,-21.22133382560505,21.62162162162162,13.676880044612346,2.72154075516724,4.8141770100088355,0.5653179659802839,47,37,78.72340425531915
KOSPI40_PIT,FULL_2023_08_08_2026_08_17,20.0,79,27,52,34.177215189873415,-0.2331971649292698,-3.463841547673885,11.952544688601026,-6.560409281185385,1.821920580912499,0.9459972247045667,-0.2331971649292698,44.56923398898602,-21.22133382560505,17.72151898734177,11.198796814312658,-2.7255355229494294,13.532367324207895,-0.20140862700894546,92,79,85.8695652173913
KOSDAQ40_PIT,P1_2023_08_08_2024_08_07,20.0,19,7,12,36.8421052631579,-0.7617437890168265,-4.4356550057779165,11.339363836323086,-7.8207232371317765,1.4499124304112005,0.8457822510732003,-0.7617437890168265,32.57079787461645,-14.484695862512275,15.789473684210526,13.550911039589742,-1.250084538992724,4.179801424184992,-0.29907749486842533,22,19,86.36363636363636
KOSDAQ40_PIT,P2_2024_08_08_2025_08_07,20.0,10,7,3,70.0,4.776576164411783,3.9492659300898847,11.015161301300463,-9.780122488328468,1.1262805056323049,2.627987846475378,4.776576164411783,22.371984655224875,-12.780768737753846,20.0,15.709389363164792,4.3291166683925075,0.7444858710252467,5.814907759674194,14,10,71.42857142857143
KOSDAQ40_PIT,P3_2025_08_08_2026_08_17,20.0,20,6,14,30.0,0.15246590827958637,-5.732063369898322,18.226658038790013,-7.59361643336774,2.4002605607913963,1.028683097482027,0.15246590827958637,37.60233379395057,-21.183665726398438,15.0,17.500848501451927,-0.2704014972616853,4.334648542700581,-0.06238141214863506,23,20,86.95652173913044
KOSDAQ40_PIT,FULL_2023_08_08_2026_08_17,20.0,49,19,30,38.775510204081634,0.2973879915449528,-4.4356550057779165,13.83524295188729,-8.276586816671859,1.6716121341249521,1.058687684945803,0.2973879915449528,37.60233379395057,-21.183665726398438,16.3265306122449,15.603636192099824,1.9390154646162339,4.179801424184992,0.46390133593351673,59,49,83.05084745762711
KR80_PIT,P1_2023_08_08_2024_08_07,20.0,40,11,29,27.5,-1.987418930545448,-4.400379350274964,10.263311913193782,-6.6342478712741215,1.54701966407274,0.5868005622344876,-1.987418930545448,32.57079787461645,-14.484695862512275,12.5,10.903031316288033,-6.374078859127175,11.55289604252876,-0.5517299589352128,44,40,90.9090909090909
KR80_PIT,P2_2024_08_08_2025_08_07,20.0,30,13,17,43.333333333333336,1.6968006779840858,-1.2529391629724995,12.003472425610179,-6.184771834906455,1.940810873226293,1.4841494912906945,1.6968006779840858,34.414243613087294,-13.790905583790403,16.666666666666664,11.689058866126777,1.0667984546812281,7.676763294085309,0.13896461487918493,37,30,81.08108108108108
