period,market,symbol,ticker,raw_signals,accepted_candidates,gap_rejects,stop_rejects,pivot_stops,fallback_stops,cost_bps_side
P1_2023_08_08_2024_08_07,KOSDAQ,039200,039200.KQ,1,1,0,0,1,0,5.0
P1_2023_08_08_2024_08_07,KOSDAQ,009520,009520.KQ,0,0,0,0,0,0,5.0
P1_2023_08_08_2024_08_07,KOSDAQ,140410,140410.KQ,1,1,0,0,1,0,5.0
P1_2023_08_08_2024_08_07,KOSDAQ,225570,225570.KQ,1,1,0,0,1,0,5.0
P1_2023_08_08_2024_08_07,KOSDAQ,281740,281740.KQ,1,1,0,0,1,0,5.0
P1_2023_08_08_2024_08_07,KOSDAQ,222800,222800.KQ,1,1,0,0,1,0,5.0
P1_2023_08_08_2024_08_07,KOSDAQ,336570,336570.KQ,1,1,0,0,1,0,5.0
P1_2023_08_08_2024_08_07,KOSDAQ,096530,096530.KQ,0,0,0,0,0,0,5.0
P1_2023_08_08_2024_08_07,KOSDAQ,101490,101490.KQ,0,0,0,0,0,0,5.0
P1_2023_08_08_2024_08_07,KOSDAQ,420770,420770.KQ,0,0,0,0,0,0,5.0
P1_2023_08_08_2024_08_07,KOSDAQ,064550,064550.KQ,0,0,0,0,0,0,5.0
P1_2023_08_08_2024_08_07,KOSDAQ,348370,348370.KQ,0,0,0,0,0,0,5.0
P1_2023_08_08_2024_08_07,KOSDAQ,067160,067160.KQ,1,1,0,0,1,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,005930,005930.KS,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,373220,373220.KS,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,000660,000660.KS,1,1,0,0,1,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,207940,207940.KS,1,0,1,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,005490,005490.KS,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,051910,051910.KS,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,006400,006400.KS,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,005380,005380.KS,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,035420,035420.KS,1,1,0,0,1,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,003670,003670.KS,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,000270,000270.KS,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,035720,035720.KS,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,068270,068270.KS,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,012330,012330.KS,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,105560,105560.KS,3,2,1,0,2,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,028260,028260.KS,1,1,0,0,1,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,055550,055550.KS,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,096770,096770.KS,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,066570,066570.KS,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,047050,047050.KS,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,032830,032830.KS,1,1,0,0,1,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,323410,323410.KS,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,003550,003550.KS,0,0,0,0,0,0,5.0
