scenario,period,trades,pnl,pf,winrate
V029|NEXT_OPEN|LEGACY_R|5M|0T,2023Q4,4,5928.069999999949,18.4650364587144,0.75
V029|NEXT_OPEN|LEGACY_R|5M|0T,2024Q1,11,-23461.519999999946,0.5147653982719661,0.5454545454545454
V029|NEXT_OPEN|LEGACY_R|5M|0T,2024Q2,8,21359.922500000044,2.397577360211506,0.625
V029|NEXT_OPEN|LEGACY_R|5M|0T,2024Q3,7,3417.5760000000446,1.2094113848019465,0.5714285714285714
V029|NEXT_OPEN|LEGACY_R|5M|0T,2024Q4,11,11630.927999999782,1.3748924667437112,0.6363636363636364
V029|NEXT_OPEN|LEGACY_R|5M|0T,2025Q1,6,-48330.119999999995,0.11938418632567203,0.3333333333333333
V029|NEXT_OPEN|LEGACY_R|5M|0T,2025Q2,8,36489.66499999988,6.062176978050956,0.875
V029|NEXT_OPEN|LEGACY_R|5M|0T,2025Q3,10,-10941.889999999781,0.7896132869908812,0.6
V029|NEXT_OPEN|LEGACY_R|5M|0T,2025Q4,3,-11847.67749999999,0.17778804876707516,0.3333333333333333
V029|NEXT_OPEN|LEGACY_R|5M|0T,2026Q1,6,-27843.13000000012,0.45760312466517794,0.6666666666666666
V029|NEXT_OPEN|LEGACY_R|5M|0T,2026Q2,7,-25361.320000000094,0.4539077798157084,0.42857142857142855
V029|NEXT_OPEN|LEGACY_R|5M|0T,2026Q3,6,-21089.111000000164,0.4677612100990499,0.5
V029|NEXT_OPEN|LEGACY_R|5M|1T,2023Q4,4,2482.1525000000256,2.562613218757182,0.75
V029|NEXT_OPEN|LEGACY_R|5M|1T,2024Q1,11,-34954.00499999992,0.40344688830157244,0.5454545454545454
V029|NEXT_OPEN|LEGACY_R|5M|1T,2024Q2,8,11664.10999999987,1.566794531145213,0.625
V029|NEXT_OPEN|LEGACY_R|5M|1T,2024Q3,7,-412.95749999997497,0.9789492773200755,0.5714285714285714
V029|NEXT_OPEN|LEGACY_R|5M|1T,2024Q4,11,6035.065000000031,1.1808377838126316,0.6363636363636364
V029|NEXT_OPEN|LEGACY_R|5M|1T,2025Q1,6,-72404.24250000008,0.032963139522921375,0.16666666666666666
V029|NEXT_OPEN|LEGACY_R|5M|1T,2025Q2,8,28700.064999999944,3.033235532800364,0.875
V029|NEXT_OPEN|LEGACY_R|5M|1T,2025Q3,10,-28615.7325,0.5778981303165414,0.6
V029|NEXT_OPEN|LEGACY_R|5M|1T,2025Q4,3,-14817.674999999988,0.1374604352666397,0.3333333333333333
V029|NEXT_OPEN|LEGACY_R|5M|1T,2026Q1,6,-30242.455000000045,0.4264887042238028,0.6666666666666666
