variant,status,5m_1t_pnl,5m_1t_pf,5m_1t_dd,5m_2t_pnl,20m_1t_pnl,jul2026_5m_1t_pnl,jul2026_trades,robust_score
PULLBACK|TRAIL_P70,SURVIVOR,58172.64200000027,1.2699452623017928,0.014259272318719485,16671.01899999933,468551.2080000007,-42142.60499999998,2,120030.90753128065
PULLBACK|TRAIL_AVG,SURVIVOR,36065.26950000036,1.1674116164889836,0.014053614635659795,13140.723999999449,445165.7805000007,-42142.60499999998,2,93385.77533934047
PULLBACK|LEGACY_R,RESEARCH_ONLY,-6294.183000000034,0.9694142887040426,0.013265052683566148,-51482.413000000175,-275367.4590000003,-40365.92000000004,2,-78883.19908356629
NEXT_OPEN|TRAIL_P70,RESEARCH_ONLY,-129854.83600000034,0.7219481562641167,0.0378022494605601,-202228.86999999965,633206.5980000002,-50779.79100000017,5,-143456.20026056026
NEXT_OPEN|TRAIL_AVG,RESEARCH_ONLY,-133547.9735000003,0.6988465921184795,0.040875205712082585,-205488.16499999963,644624.3710000005,-50779.79100000017,5,-149650.38131208267
NEXT_OPEN|LEGACY_R,RESEARCH_ONLY,-180216.58350000042,0.5962059577180696,0.040121036952771805,-247639.81199999969,-67868.21099999984,-28618.221000000165,5,-317191.7863027721
