scenario,period,trades,pnl,pf,winrate
V029|NEXT_OPEN|LEGACY_R|5M|0T,2023,4,5928.069999999949,18.4650364587144,0.75
V029|NEXT_OPEN|LEGACY_R|5M|0T,2024,37,12946.906499999925,1.1166608320060663,0.5945945945945946
V029|NEXT_OPEN|LEGACY_R|5M|0T,2025,27,-34630.02249999989,0.730523408137422,0.5925925925925926
V029|NEXT_OPEN|LEGACY_R|5M|0T,2026,19,-74293.56100000038,0.4592834990222325,0.5263157894736842
V029|NEXT_OPEN|LEGACY_R|5M|1T,2023,4,2482.1525000000256,2.562613218757182,0.75
V029|NEXT_OPEN|LEGACY_R|5M|1T,2024,37,-17667.78749999999,0.8663176277419076,0.5945945945945946
V029|NEXT_OPEN|LEGACY_R|5M|1T,2025,27,-87137.58500000012,0.4990949514712506,0.5555555555555556
V029|NEXT_OPEN|LEGACY_R|5M|1T,2026,19,-77893.36350000031,0.4379866494727865,0.5263157894736842
V029|NEXT_OPEN|LEGACY_R|5M|2T,2023,4,84.09250000005704,1.0240257249609284,0.5
V029|NEXT_OPEN|LEGACY_R|5M|2T,2024,37,-53350.70150000001,0.6736632997868308,0.5675675675675675
V029|NEXT_OPEN|LEGACY_R|5M|2T,2025,27,-109991.2699999999,0.46333781872152163,0.48148148148148145
V029|NEXT_OPEN|LEGACY_R|5M|2T,2026,16,-84381.93299999982,0.33127122115664565,0.5
V029|NEXT_OPEN|LEGACY_R|10M|0T,2023,5,13643.41750000004,23.26487999314721,0.8
V029|NEXT_OPEN|LEGACY_R|10M|0T,2024,44,100425.63249999995,1.4221239903744654,0.6363636363636364
V029|NEXT_OPEN|LEGACY_R|10M|0T,2025,35,99512.41500000056,1.3243814727422045,0.5714285714285714
V029|NEXT_OPEN|LEGACY_R|10M|0T,2026,25,-79078.78249999971,0.7533742276949653,0.6
V029|NEXT_OPEN|LEGACY_R|10M|1T,2023,5,6584.575000000012,3.0726252587014664,0.8
V029|NEXT_OPEN|LEGACY_R|10M|1T,2024,43,-8422.607499998878,0.9717236370671622,0.6046511627906976
V029|NEXT_OPEN|LEGACY_R|10M|1T,2025,34,-60436.44000000041,0.856074104959616,0.5588235294117647
V029|NEXT_OPEN|LEGACY_R|10M|1T,2026,23,-132265.4085,0.5669169759191832,0.6086956521739131
V029|NEXT_OPEN|LEGACY_R|10M|2T,2023,5,1587.7350000000442,1.226812643344024,0.6
V029|NEXT_OPEN|LEGACY_R|10M|2T,2024,43,-98986.98249999995,0.7335356271169475,0.5581395348837209
V029|NEXT_OPEN|LEGACY_R|10M|2T,2025,34,-156460.90249999985,0.69637251322559,0.5
V029|NEXT_OPEN|LEGACY_R|10M|2T,2026,23,-154654.31099999984,0.5163208869976679,0.6086956521739131
V029|NEXT_OPEN|LEGACY_R|20M|0T,2023,6,19094.667500000098,1.7793944638355448,0.6666666666666666
V029|NEXT_OPEN|LEGACY_R|20M|0T,2024,44,189886.84049999982,1.3747498105231135,0.6363636363636364
V029|NEXT_OPEN|LEGACY_R|20M|0T,2025,39,112244.84999999992,1.154064748416953,0.5384615384615384
V029|NEXT_OPEN|LEGACY_R|20M|0T,2026,33,175421.48850000114,1.329106108304628,0.6666666666666666
V029|NEXT_OPEN|LEGACY_R|20M|1T,2023,6,2992.0574999997625,1.0926062151906328,0.6666666666666666
V029|NEXT_OPEN|LEGACY_R|20M|1T,2024,44,-2453.5500000006286,0.9961045539343443,0.6136363636363636
