variant,capital_krw,slippage_ticks,trades,pnl,pf,winrate
PULLBACK|TRAIL_P70,5000000,0,4,-65236.04499999975,0.0,0.0
PULLBACK|TRAIL_P70,5000000,1,2,-42142.60499999998,0.0,0.0
PULLBACK|TRAIL_P70,5000000,2,2,-43263.59500000009,0.0,0.0
PULLBACK|TRAIL_P70,10000000,0,5,-173754.13999999978,0.0,0.0
PULLBACK|TRAIL_P70,10000000,1,4,-151062.98499999964,0.0,0.0
PULLBACK|TRAIL_P70,10000000,2,4,-152038.51000000036,0.0,0.0
PULLBACK|TRAIL_P70,20000000,0,5,-388904.6719999998,0.0,0.0
PULLBACK|TRAIL_P70,20000000,1,4,-333894.62499999907,0.0,0.0
PULLBACK|TRAIL_P70,20000000,2,4,-347760.5849999995,0.0,0.0
PULLBACK|TRAIL_P70,50000000,0,5,-1023704.8840000001,0.0,0.0
PULLBACK|TRAIL_P70,50000000,1,4,-885618.7350000022,0.0,0.0
PULLBACK|TRAIL_P70,50000000,2,4,-934761.7199999988,0.0,0.0
