period,trades,pnl,pf,winrate
train,44,95234.70700000027,1.6207206706804682,0.6136363636363636
oos2026,7,-43835.07999999999,0.2938014292782126,0.42857142857142855
jul2026,2,-42142.60499999998,0.0,0.0
