month,trades,wins,pnl,pf
2026-01,2,1,189682.02954999998,7.331083339521065
2026-03,2,1,14270.73499999987,4.581661182765698
2026-04,3,2,167598.38049999997,397.0830423535992
2026-05,1,0,-51214.535399999935,0.0
