Datetime,breadth20,breadth120,breadth200,coverage20,coverage120,coverage200,ew_index,ew_ema5,ew_ema20,ew_ema120,ew_ema200,ks_close,ks_ema5,ks_ema20,ks_ema120,ks_ema200
2023-08-09 09:00:00+09:00,,,,0,0,0,1.0,,,,,903.6400146484375,,,,
2023-08-09 10:00:00+09:00,,,,0,0,0,0.9989868582928114,,,,,907.8499755859375,,,,
2023-08-09 11:00:00+09:00,,,,0,0,0,0.9995235575677748,,,,,909.780029296875,,,,
2023-08-09 12:00:00+09:00,,,,0,0,0,1.0015524098385962,,,,,911.0999755859375,,,,
2023-08-09 13:00:00+09:00,,,,0,0,0,1.0125858797714633,1.004369625778766,,,,911.5,909.243209273727,,,
2023-08-09 14:00:00+09:00,,,,0,0,0,1.011137682054679,1.0066256445374036,,,,908.7899780273438,909.0921321915993,,,
2023-08-10 09:00:00+09:00,,,,0,0,0,1.0283639553314288,1.013871748135412,,,,903.0999755859375,907.0947466563788,,,
2023-08-10 10:00:00+09:00,,,,0,0,0,1.0212945411996877,1.0163460124901706,,,,906.8300170898438,907.0065034675339,,,
2023-08-10 11:00:00+09:00,,,,0,0,0,1.0145396973024268,1.0157439074275896,,,,909.0599975585938,907.6910014978872,,,
2023-08-10 12:00:00+09:00,,,,0,0,0,1.0308664558779146,1.0207847569110313,,,,908.3200073242188,907.9006701066644,,,
2023-08-10 13:00:00+09:00,,,,0,0,0,1.0218556140749473,1.0211417092990034,,,,910.0599975585938,908.6204459239742,,,
2023-08-10 14:00:00+09:00,,,,0,0,0,1.0263546224277826,1.0228793470085966,,,,910.8200073242188,909.3536330573891,,,
2023-08-11 09:00:00+09:00,,,,0,0,0,1.0270230351415321,1.0242605763862418,,,,909.5900268554688,909.4324309900824,,,
2023-08-11 10:00:00+09:00,,,,0,0,0,1.0360020944730992,1.0281744157485275,,,,915.6099853515625,911.4916157772425,,,
2023-08-11 11:00:00+09:00,,,,0,0,0,1.0316090871801156,1.0293193062257235,,,,915.9400024414062,912.9744113319638,,,
2023-08-11 12:00:00+09:00,,,,0,0,0,1.0339964680540343,1.0308783601684939,,,,918.0999755859375,914.6829327499551,,,
2023-08-11 13:00:00+09:00,,,,0,0,0,1.0316665522323125,1.0311410908564334,,,,914.280029296875,914.5486315989284,,,
2023-08-11 14:00:00+09:00,,,,0,0,0,1.0329849814442937,1.0317557210523869,,,,913.1199951171875,914.0724194383481,,,
2023-08-14 09:00:00+09:00,,,,0,0,0,1.0438794177584891,1.0357969532877545,,,,899.8800048828125,909.3416145865029,,,
2023-08-14 10:00:00+09:00,0.631578947368421,,,19,0,0,1.0501055401359212,1.0405664822371434,1.025904331322465,,,900.260009765625,906.3144129795437,908.595381864786,,
2023-08-14 11:00:00+09:00,0.5263157894736842,,,19,0,0,1.0441938070310806,1.0417755905017891,1.0276461861518569,,,896.260009765625,902.9629452415709,907.4205845220088,,
2023-08-14 12:00:00+09:00,0.5789473684210527,,,19,0,0,1.044608633887937,1.042719938297172,1.0292616573648168,,,897.9600219726562,901.2953041519328,906.5195785649275,,
