strategy,regime_mode,add_policy,max_hold,ticker,symbol,market,name,setup_id,entry_time,starting_equity,slippage_ticks,planned_seed,reserved_risk,structural_stop,active_stop,raw_first_entry,first_entry,R,level,touches,shares,cash_out,cash_in,buy_notional,sell_notional,commissions,taxes,added20,added60,entry_i,bars_held,last_mark,mfe_R,mae_R,peak_price,trail_pct,trail_samples,trail_armed,exit_time,exit_raw_price,exit_reason,status,pnl,fill_count,fill_detail,event_detail,theme,relation
KOSDAQ_THEME|PB_WIDE|FAST|DIRECT|H26|TRAIL_P70|5M|1T,FAST,DIRECT,26,054300.KQ,054300,KOSDAQ,팬스타엔터프라이즈,KRLEVEL_RR|054300|8T|3562|3566|3567,2026-01-23 01:00:00+00:00,5000000,1,997446.126,26352.648752414018,1363.9854084950027,1363.9854084950027,1400.0,1401.0,37.01459150499727,1390.0,8,0,996260.41665,966299.9787,996111.0,968382.0,294.67395,1936.7640000000001,False,False,3569,18,1386.0,0.7834748087408925,-0.999605790462518,1430.0,0.06,57,False,2026-01-28 00:00:00+00:00,1363.9854084950027,stop,LOSS,-29960.43795000005,1,"[{""time"": ""2026-01-23 01:00:00+00:00"", ""raw_price"": 1400.0, ""price"": 1401.0, ""shares"": 711, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2026-01-28 00:00:00+00:00"", ""raw_price"": 1363.9854084950027, ""price"": 1362.0, ""shares"": 711, ""reason"": ""stop"", ""slippage_ticks"": 1, ""commission"": 145.2573, ""stt"": 1936.7640000000001, ""rural_tax"": 0.0}]",SHIPPING_RELATED,SHIPPING_RELATED
KOSDAQ_THEME|PB_WIDE|FAST|DIRECT|H26|TRAIL_P70|5M|1T,FAST,DIRECT,26,218410.KQ,218410,KOSDAQ,RFHIC,KRLEVEL_RR|218410|2T|3563|3565|3566,2026-01-22 04:00:00+00:00,5000000,1,828007.8102672735,50000.0,32510.64772753584,41642.0,34550.0,34600.0,2089.352272464159,34150.0,2,0,795919.37,1015561.8375,795800.0,1017750.0,272.03249999999997,2035.5,False,False,3568,26,44300.0,4.642587144273152,-0.38289378509469296,44300.0,0.06,50,True,2026-01-28 05:00:00+00:00,44300.0,time,TIME,219642.46750000003,1,"[{""time"": ""2026-01-22 04:00:00+00:00"", ""raw_price"": 34550.0, ""price"": 34600.0, ""shares"": 23, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2026-01-28 05:00:00+00:00"", ""raw_price"": 44300.0, ""price"": 44250.0, ""shares"": 23, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 152.6625, ""stt"": 2035.5, ""rural_tax"": 0.0}]",OPTICAL_COMMS,RELATED_RF
KOSDAQ_THEME|PB_WIDE|FAST|DIRECT|H26|TRAIL_P70|5M|1T,FAST,DIRECT,26,950140.KQ,950140,KOSDAQ,잉글우드랩,KRLEVEL_RR|950140|4T|3718|3722|3723,2026-03-06 05:00:00+00:00,5000000,1,874925.931567277,51896.8202955,11692.706186891133,11692.706186891133,12420.0,12430.0,737.2938131088667,12390.0,4,0,870230.515,888485.6399999999,870100.0,890400.0,264.075,1780.8,False,False,3725,26,12730.0,0.4475827602682909,-0.2983885068455273,12760.0,0.06,52,False,2026-03-13 00:00:00+00:00,12730.0,time,TIME,18255.124999999884,1,"[{""time"": ""2026-03-06 05:00:00+00:00"", ""raw_price"": 12420.0, ""price"": 12430.0, ""shares"": 70, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2026-03-13 00:00:00+00:00"", ""raw_price"": 12730.0, ""price"": 12720.0, ""shares"": 70, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 133.56, ""stt"": 1780.8, ""rural_tax"": 0.0}]",COSMETICS,DIRECT
KOSDAQ_THEME|PB_WIDE|FAST|DIRECT|H26|TRAIL_P70|5M|1T,FAST,DIRECT,26,950140.KQ,950140,KOSDAQ,잉글우드랩,KRLEVEL_RR|950140|2T|3744|3748|3750,2026-03-13 02:00:00+00:00,5000000,1,1041587.4309100001,15426.427576932972,12521.758582444185,12521.758582444185,12700.0,12710.0,188.24141755581513,12675.0,2,0,1029664.4265,1025680.0364999999,1029510.0,1027890.0,308.60999999999996,2055.78,False,False,3752,26,12700.0,0.47810944673381595,-0.5312327185931288,12800.0,0.06,53,False,2026-03-19 03:00:00+00:00,12700.0,time,TIME,-3984.390000000014,1,"[{""time"": ""2026-03-13 02:00:00+00:00"", ""raw_price"": 12700.0, ""price"": 12710.0, ""shares"": 81, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2026-03-19 03:00:00+00:00"", ""raw_price"": 12700.0, ""price"": 12690.0, ""shares"": 81, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 154.18349999999998, ""stt"": 2055.78, ""rural_tax"": 0.0}]",COSMETICS,DIRECT
KOSDAQ_THEME|PB_WIDE|FAST|DIRECT|H26|TRAIL_P70|5M|1T,FAST,DIRECT,26,218410.KQ,218410,KOSDAQ,RFHIC,KRLEVEL_RR|218410|5T|3858|3861|3863,2026-04-09 02:00:00+00:00,5000000,1,1040790.5529100001,31899.99617125663,81619.28895289265,91462.0,84100.0,84200.0,2580.711047107354,83700.0,5,0,1010551.56,1093244.46,1010400.0,1095600.0,315.9,2191.2000000000003,False,False,3866,18,93500.0,5.076120402818216,-0.38749010708535997,97300.0,0.06,54,True,2026-04-14 01:00:00+00:00,91462.0,stop,BE_OR_WIN,82692.8999999999,1,"[{""time"": ""2026-04-09 02:00:00+00:00"", ""raw_price"": 84100.0, ""price"": 84200.0, ""shares"": 12, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2026-04-14 01:00:00+00:00"", ""raw_price"": 91462.0, ""price"": 91300.0, ""shares"": 12, ""reason"": ""stop"", ""slippage_ticks"": 1, ""commission"": 164.33999999999997, ""stt"": 2191.2000000000003, ""rural_tax"": 0.0}]",OPTICAL_COMMS,RELATED_RF
KOSDAQ_THEME|PB_WIDE|FAST|DIRECT|H26|TRAIL_P70|5M|1T,FAST,DIRECT,26,124560.KQ,124560,KOSDAQ,태웅로직스,KRLEVEL_RR|124560|2T|3873|3874|3875,2026-04-13 02:00:00+00:00,5000000,1,822970.0735737355,52950.0120455,2615.1693009023948,2615.1693009023948,2790.0,2795.0,179.83069909760525,2780.0,2,0,821853.2595,821430.12,821730.0,823200.0,246.73949999999996,1646.4,False,False,3878,26,2805.0,0.417058935856624,-0.2780392905710827,2870.0,0.05883713289187686,39,False,2026-04-17 03:00:00+00:00,2805.0,time,TIME,-423.13950000004843,1,"[{""time"": ""2026-04-13 02:00:00+00:00"", ""raw_price"": 2790.0, ""price"": 2795.0, ""shares"": 294, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2026-04-17 03:00:00+00:00"", ""raw_price"": 2805.0, ""price"": 2800.0, ""shares"": 294, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 123.47999999999999, ""stt"": 1646.4, ""rural_tax"": 0.0}]",SHIPPING_RELATED,LOGISTICS
KOSDAQ_THEME|PB_WIDE|FAST|DIRECT|H26|TRAIL_P70|5M|1T,FAST,DIRECT,26,138080.KQ,138080,KOSDAQ,오이솔루션,KRLEVEL_RR|138080|2T|3897|3901|3902,2026-04-17 04:00:00+00:00,5000000,1,845214.7108719195,52862.22525050001,40404.39865871927,47752.0,43050.0,43100.0,2695.6013412807297,42875.0,2,0,819022.835,904351.4550000001,818900.0,906300.0,258.78,1812.6000000000001,False,False,3904,16,47900.0,2.8565054787892294,-0.09274368437627369,50800.0,0.06,61,True,2026-04-23 01:00:00+00:00,47752.0,stop,BE_OR_WIN,85328.62000000011,1,"[{""time"": ""2026-04-17 04:00:00+00:00"", ""raw_price"": 43050.0, ""price"": 43100.0, ""shares"": 19, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2026-04-23 01:00:00+00:00"", ""raw_price"": 47752.0, ""price"": 47700.0, ""shares"": 19, ""reason"": ""stop"", ""slippage_ticks"": 1, ""commission"": 135.945, ""stt"": 1812.6000000000001, ""rural_tax"": 0.0}]",OPTICAL_COMMS,DIRECT
KOSDAQ_THEME|PB_WIDE|FAST|DIRECT|H26|TRAIL_P70|5M|1T,FAST,DIRECT,26,054300.KQ,054300,KOSDAQ,팬스타엔터프라이즈,KRLEVEL_RR|054300|5T|3949|3951|3952,2026-05-26 02:00:00+00:00,5000000,1,1074310.2290100001,32699.32721810491,1065.5491776562403,1065.5491776562403,1098.0,1099.0,33.45082234375968,1098.0,5,0,1073884.05845,1022669.52305,1073723.0,1024873.0,314.7894,2049.746,False,False,3954,4,1050.0,0.029894631280613405,-0.9865228322602424,1100.0,0.06,54,False,2026-05-27 00:00:00+00:00,1050.0,gap_stop,LOSS,-51214.535399999935,1,"[{""time"": ""2026-05-26 02:00:00+00:00"", ""raw_price"": 1098.0, ""price"": 1099.0, ""shares"": 977, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2026-05-27 00:00:00+00:00"", ""raw_price"": 1050.0, ""price"": 1049.0, ""shares"": 977, ""reason"": ""gap_stop"", ""slippage_ticks"": 1, ""commission"": 153.73094999999998, ""stt"": 2049.746, ""rural_tax"": 0.0}]",SHIPPING_RELATED,SHIPPING_RELATED
