market,primary,5m_1tick_pnl,5m_1tick_pf,5m_2tick_pnl,20m_1tick_pnl,status,live_approval
KOSPI,1,-48330.4754999999,0.9561536943754789,-427818.3849999993,-1580954.0375000006,EXECUTION_UNSUPPORTED,False
KOSDAQ,0,-411957.5889999999,0.6741577281833481,-403142.67449999973,-1428516.8574999988,EXECUTION_UNSUPPORTED,False
