market,universe,capital_krw,slippage_ticks,ending_equity,return_pct,trades,wins,losses,pf,max_dd_pct,commissions,taxes,pnl,resolved_tickers
KOSPI,KOSPI40_PIT,5000000,0,5395954.969499982,0.0791909938999964,521,285,236,1.2138880522958293,0.024557982000714906,56071.246499999994,328683.784,395954.9695000008,40
KOSPI,KOSPI40_PIT,5000000,1,4951669.524499989,-0.009666095100002159,275,144,131,0.9561536943754789,0.1290492570709606,31026.6495,188053.826,-48330.4754999999,40
KOSPI,KOSPI40_PIT,5000000,2,4572181.615000006,-0.08556367699999878,167,78,89,0.4573584390295825,0.08784750344137504,18773.744999999995,115744.64,-427818.3849999993,40
KOSPI,KOSPI40_PIT,10000000,0,9856952.669499975,-0.014304733050002572,597,321,276,0.9663454150560673,0.07107805827804936,120714.83249999999,707042.498,-143047.3304999999,40
KOSPI,KOSPI40_PIT,10000000,1,9233649.070499998,-0.07663509295000026,267,133,134,0.6325540246775032,0.08137949810213296,52218.8655,320242.064,-766350.9294999999,40
KOSPI,KOSPI40_PIT,10000000,2,9197452.895500002,-0.08025471044999977,144,58,86,0.4527277487043701,0.08352889466269253,31489.330499999996,195467.774,-802547.1045000001,40
KOSPI,KOSPI40_PIT,20000000,0,21393304.788499933,0.06966523942499658,527,291,236,1.1732344798431136,0.054148807352597306,242855.43749999994,1419549.7740000002,1393304.7884999998,40
KOSPI,KOSPI40_PIT,20000000,1,18419045.962500017,-0.0790477018749991,186,81,105,0.5037782323687731,0.08280091526662814,75670.3455,467133.692,-1580954.0375000006,40
KOSPI,KOSPI40_PIT,20000000,2,18453834.57049997,-0.07730827147500141,184,86,98,0.5408595632672261,0.08133123634976269,72089.68349999998,444845.74600000004,-1546165.429499995,40
KOSPI,KOSPI40_PIT,50000000,0,54359316.24450004,0.08718632489000089,549,303,246,1.1891699852229272,0.060457939999478794,670036.8615,3919316.8940000003,4359316.2445000205,40
KOSPI,KOSPI40_PIT,50000000,1,45979438.85150002,-0.08041122296999959,239,121,118,0.5823584299646715,0.08438064657266442,224889.56849999996,1383741.58,-4020561.1484999894,40
KOSPI,KOSPI40_PIT,50000000,2,45823429.76050002,-0.08353140478999954,151,66,85,0.4714283799424368,0.08696795305513705,159161.5335,986738.7059999999,-4176570.2395000015,40
KOSDAQ,KOSDAQ40_PIT,5000000,0,4591932.70499999,-0.08161345900000205,484,230,254,0.7704948163743677,0.08161345900000205,36905.75099999999,208961.544,-408067.29500000045,36
KOSDAQ,KOSDAQ40_PIT,5000000,1,4588042.410999991,-0.08239151780000176,248,119,129,0.6741577281833481,0.08360160977783238,21836.676,132740.913,-411957.5889999999,36
KOSDAQ,KOSDAQ40_PIT,5000000,2,4596857.325500003,-0.08062853489999944,147,64,83,0.5761814240003,0.08110085089999941,15475.462500000001,95257.212,-403142.67449999973,36
KOSDAQ,KOSDAQ40_PIT,10000000,0,9270318.089999985,-0.07296819100000151,319,153,166,0.7578139983078833,0.0804663081119178,57647.835,337294.075,-729681.9100000005,36
KOSDAQ,KOSDAQ40_PIT,10000000,1,9523134.251500027,-0.047686574849997276,302,147,155,0.8492211860341257,0.08432061073631247,56184.364499999996,329091.384,-476865.74850000034,36
KOSDAQ,KOSDAQ40_PIT,10000000,2,9211931.187000016,-0.07880688129999847,198,93,105,0.6941733699824608,0.08140287732474227,41071.143,250897.66999999998,-788068.8130000003,36
KOSDAQ,KOSDAQ40_PIT,20000000,0,18401978.498500004,-0.07990107507499977,260,124,136,0.7079213173393613,0.0832164607316872,98574.5955,595456.906,-1598021.5015000016,36
KOSDAQ,KOSDAQ40_PIT,20000000,1,18571483.142500013,-0.07142584287499931,297,147,150,0.7734718818202677,0.08220490934222624,113627.02349999998,669459.834,-1428516.8574999988,36
KOSDAQ,KOSDAQ40_PIT,20000000,2,18387277.666500032,-0.08063611667499837,147,64,83,0.5725539297457429,0.08067763417499851,60811.093499999995,374121.24,-1612722.333500003,36
KOSDAQ,KOSDAQ40_PIT,50000000,0,45964122.45400004,-0.08071755091999921,255,123,132,0.7030146043095342,0.08321571948144402,248303.80199999997,1500173.744,-4035877.5459999936,36
KOSDAQ,KOSDAQ40_PIT,50000000,1,46436050.49350004,-0.07127899012999928,318,160,158,0.7778350606114367,0.0814904716721,283751.4225,1669248.084,-3563949.506500001,36
KOSDAQ,KOSDAQ40_PIT,50000000,2,45872129.27349992,-0.08255741453000154,125,52,73,0.5759805867770893,0.08255741453000154,154118.0625,948202.664,-4127870.7264999896,36
