date,equity,asset
2026-08-11,9995.0,LEVER
2026-08-12,10683.37771881792,LEVER
2026-08-13,10923.858692484693,LEVER
2026-08-14,10893.046763140459,LEVER
2026-08-17,11387.536374429117,LEVER
2026-08-18,9701.913992516082,LEVER
