Datetime,breadth20,coverage20,ks_close,ks_ema5,ks_ema20
2023-08-08 09:00:00+09:00,,0.0,2596.010009765625,,
2023-08-08 10:00:00+09:00,,0.0,2572.97998046875,,
2023-08-08 11:00:00+09:00,,0.0,2580.52001953125,,
2023-08-08 12:00:00+09:00,,0.0,2578.830078125,,
2023-08-08 13:00:00+09:00,,0.0,2579.72998046875,2582.1961865837193,
2023-08-08 14:00:00+09:00,,0.0,2569.14990234375,2577.8474251703965,
2023-08-09 09:00:00+09:00,,0.0,2596.469970703125,2584.0549403479727,
2023-08-09 10:00:00+09:00,,0.0,2597.6298828125,2588.579921169482,
2023-08-09 11:00:00+09:00,,0.0,2602.3798828125,2593.1799083838214,
2023-08-09 12:00:00+09:00,,0.0,2604.06005859375,2596.8066251204646,
2023-08-09 13:00:00+09:00,,0.0,2606.360107421875,2599.9911192209347,
2023-08-09 14:00:00+09:00,,0.0,2604.719970703125,2601.5674030483315,
2023-08-10 09:00:00+09:00,,0.0,2596.25,2599.7949353655545,
2023-08-10 10:00:00+09:00,,0.0,2595.419921875,2598.33659753537,
2023-08-10 11:00:00+09:00,,0.0,2594.47998046875,2597.0510585131633,
2023-08-10 12:00:00+09:00,,0.0,2593.830078125,2595.977398383776,
2023-08-10 13:00:00+09:00,,0.0,2596.25,2596.068265589184,
2023-08-10 14:00:00+09:00,,0.0,2597.97998046875,2596.705503882373,
2023-08-11 09:00:00+09:00,,0.0,2601.739990234375,2598.383665999707,
2023-08-11 10:00:00+09:00,0.5,40.0,2603.02001953125,2599.929117176888,2596.4731377803023
2023-08-11 11:00:00+09:00,0.475,40.0,2602.5400390625,2600.799424472092,2597.050937902416
2023-08-11 12:00:00+09:00,0.525,40.0,2603.89990234375,2601.8329170959782,2597.703220230162
2023-08-11 13:00:00+09:00,0.475,40.0,2597.300048828125,2600.321961006694,2597.6648229537777
2023-08-11 14:00:00+09:00,0.425,40.0,2594.030029296875,2598.2246504367545,2597.3186521293105
2023-08-14 09:00:00+09:00,0.175,40.0,2576.830078125,2591.0931263328366,2595.3673593669955
2023-08-14 10:00:00+09:00,0.225,40.0,2575.889892578125,2586.025381747933,2593.5123625299602
2023-08-14 11:00:00+09:00,0.175,40.0,2566.139892578125,2579.3968853579972,2590.9054606297855
2023-08-14 12:00:00+09:00,0.15,40.0,2567.199951171875,2575.33124062929,2588.6477930623655
2023-08-14 13:00:00+09:00,0.175,40.0,2563.18994140625,2571.284140888277,2586.223235761783
