strategy,test,excluded_symbols,trades,pnl,pf
KOSPI40,exclude_top1,032830,506,287494.42809654056,1.1317037588126955
KOSPI40,exclude_top3,"032830,009150,033780",460,110808.85473665326,1.05406775524221
KOSPI40,exclude_top5,"032830,009150,033780,009540,034730",431,-27176.55310496931,0.9863392642416874
KOSDAQ40,exclude_top1,214450,474,452931.82987501187,1.1455613838653744
KOSDAQ40,exclude_top3,"214450,058470,000250",444,171069.15059598922,1.0577636542302657
KOSDAQ40,exclude_top5,"214450,058470,000250,028300,131290",416,-55088.48393140074,0.9805405188291656
KR80,exclude_top1,032830,550,599011.212230955,1.2247998627364025
KR80,exclude_top3,"032830,028300,010130",532,356155.90162971854,1.1370062305208617
KR80,exclude_top5,"032830,028300,010130,000250,298040",523,148375.94926979186,1.057129443723943
