universe,strategy,ending_equity,return_pct,trades,wins,losses,pf,max_mtm_dd_pct,fees,pnl
KOSPI40,NORA_LEVEL_RR_A_RAW,5520585.194686656,0.10411703893733115,520,292,228,1.2366108248413652,0.03749681611614697,206559.60944422064,520585.1946866509
KOSDAQ40,NORA_LEVEL_RR_A_RAW,5637316.968540316,0.12746339370806337,486,271,215,1.2034131218566921,0.054846080985054835,193495.05864515432,637316.9685403261
KR80,NORA_LEVEL_RR_A_RAW,5811170.530584705,0.162234106116941,569,317,252,1.2984704895749646,0.0396236806776924,238398.58199216545,811170.530584713
