market,symbol,name,yf_ticker,error
KOSDAQ,440110,파두,440110.KQ,RuntimeError('attempt1: rows=0; attempt2: rows=0; attempt3: rows=0')
KOSDAQ,347850,디앤디파마텍,347850.KQ,RuntimeError('attempt1: rows=0; attempt2: rows=0; attempt3: rows=0')
