market,month,ticker,momentum63,rank,universe_count,eligible
KR,2021-12-01,091160.KS,-0.03417376042540177,1,8,False
KR,2021-12-01,091170.KS,-0.05399990889118922,2,8,False
KR,2021-12-01,140700.KS,-0.09689351049393313,3,8,False
KR,2021-12-01,117700.KS,-0.10555563581861627,4,8,False
KR,2021-12-01,102970.KS,-0.10669077058862553,5,8,False
KR,2021-12-01,091180.KS,-0.12716627760679255,6,8,False
KR,2021-12-01,117680.KS,-0.19216717125147542,7,8,False
KR,2021-12-01,140710.KS,-0.25701947615302045,8,8,False
KR,2022-01-01,091160.KS,0.20683888502799008,1,8,True
KR,2022-01-01,102970.KS,0.0282840349195419,2,8,True
KR,2022-01-01,091180.KS,-0.0007059832418309098,3,8,False
KR,2022-01-01,091170.KS,-0.011125612597251644,4,8,False
KR,2022-01-01,140700.KS,-0.05519728717199179,5,8,False
KR,2022-01-01,117680.KS,-0.10084944297974141,6,8,False
KR,2022-01-01,117700.KS,-0.1076116241176579,7,8,False
KR,2022-01-01,140710.KS,-0.13233083697216985,8,8,False
KR,2022-02-01,091160.KS,0.08289844397252244,1,8,True
KR,2022-02-01,140700.KS,0.03937600257981955,2,8,True
KR,2022-02-01,091170.KS,-0.0013114932217461739,3,8,False
KR,2022-02-01,102970.KS,-0.06629150128719774,4,8,False
KR,2022-02-01,117680.KS,-0.09446612890522754,5,8,False
KR,2022-02-01,091180.KS,-0.10801375703905669,6,8,False
KR,2022-02-01,140710.KS,-0.11675121306388025,7,8,False
KR,2022-02-01,117700.KS,-0.13135595901626407,8,8,False
KR,2022-03-01,140700.KS,0.050113884348113924,1,8,True
KR,2022-03-01,091170.KS,0.04578612670047244,2,8,True
KR,2022-03-01,140710.KS,0.043828267920848596,3,8,True
KR,2022-03-01,117680.KS,0.03900709358931009,4,8,True
KR,2022-03-01,102970.KS,-0.021943639003549564,5,8,False
KR,2022-03-01,117700.KS,-0.04532162146718388,6,8,False
KR,2022-03-01,091160.KS,-0.05713517724517703,7,8,False
KR,2022-03-01,091180.KS,-0.13440609229589418,8,8,False
KR,2022-04-01,140700.KS,0.16501150419309463,1,8,True
KR,2022-04-01,117680.KS,0.09929064106898244,2,8,True
KR,2022-04-01,091170.KS,0.08410572972858055,3,8,True
KR,2022-04-01,140710.KS,0.08044978629901722,4,8,True
KR,2022-04-01,117700.KS,0.02949857346799334,5,8,False
KR,2022-04-01,102970.KS,-0.02757353810415253,6,8,False
KR,2022-04-01,091160.KS,-0.03033901196294675,7,8,False
KR,2022-04-01,091180.KS,-0.11178037769488558,8,8,False
KR,2022-05-01,140710.KS,0.1704358419854115,1,8,True
KR,2022-05-01,117680.KS,0.1647839635595023,2,8,True
KR,2022-05-01,117700.KS,0.06821886455565429,3,8,True
KR,2022-05-01,140700.KS,0.011956482352971198,4,8,True
KR,2022-05-01,091170.KS,-0.005928740517952891,5,8,False
KR,2022-05-01,091180.KS,-0.01919990644735181,6,8,False
KR,2022-05-01,102970.KS,-0.020445964160928032,7,8,False
KR,2022-05-01,091160.KS,-0.027132937649682942,8,8,False
KR,2022-06-01,117680.KS,0.09921801521602469,1,8,True
KR,2022-06-01,140710.KS,0.0912383414638529,2,8,True
KR,2022-06-01,091180.KS,0.06923096791045658,3,8,True
KR,2022-06-01,140700.KS,0.01737014282086502,4,8,True
KR,2022-06-01,117700.KS,0.015533962387908717,5,8,False
KR,2022-06-01,091160.KS,0.011445408682841274,6,8,False
KR,2022-06-01,091170.KS,-0.030264782806306623,7,8,False
KR,2022-06-01,102970.KS,-0.03223071441049119,8,8,False
KR,2022-07-01,091180.KS,-0.012832277271142667,1,8,False
KR,2022-07-01,140710.KS,-0.10612396713539318,2,8,False
KR,2022-07-01,140700.KS,-0.11644045882380327,3,8,False
KR,2022-07-01,117680.KS,-0.2002768889266061,4,8,False
KR,2022-07-01,102970.KS,-0.20218549323407475,5,8,False
