market,ticker,entry_mode,signal_i,signal_date,entry_date,momentum63,momentum_rank,universe_count,asset_60m_regime,market_60m_regime,daily_strict_stack,intraday_strict_stack,signal_close,signal_atr14,signal_rsi14,entry_price,initial_stop,risk_price,risk_pct,exit_i,exit_date,exit_price,exit_reason,hold_days,gross_r,net_r,mfe_r,mae_r,cost_label,cost_bps_each_side,evaluation_window
KR,091160.KS,DAILY_5_20_CROSS,857,2025-03-19,2025-03-20,0.11166734242441345,3,9,False,True,False,False,33428.0859375,925.1378594721718,56.83293206391335,33763.05694701422,31912.781228069878,1850.2757189443437,0.05480178296201256,864,2025-03-28,31912.781228069878,INITIAL_STOP,7,-1.0,-1.0177475814827628,0.569735875333601,-1.1022037092667434,BASE_5BP_SIDE,5.0,DEVELOPMENT_TO_2025
KR,091160.KS,DAILY_5_20_CROSS,974,2025-09-08,2025-09-09,0.18969886875178532,2,9,True,False,True,False,38145.04296875,753.1162913097376,60.151309881827096,38349.85593254884,36843.62334992937,1506.232582619472,0.03927609494201726,1011,2025-11-05,56043.16581006024,TRAIL_STOP,37,11.746731601530735,11.71539745605021,15.448260938233723,-0.03979801434898178,BASE_5BP_SIDE,5.0,DEVELOPMENT_TO_2025
KR,091160.KS,DAILY_5_20_CROSS,1045,2025-12-23,2025-12-24,0.49946129241999615,1,9,False,True,True,False,58241.625,1659.097704485971,56.92170722930889,58631.267816014275,55313.07240704233,3318.195408971944,0.05659429742137739,1049,2025-12-30,61243.875,WINDOW_END,4,0.7873578442431675,0.7692945405432273,0.9077949249744023,-0.26646703464887805,BASE_5BP_SIDE,5.0,DEVELOPMENT_TO_2025
KR,091160.KS,DAILY_5_20_CROSS,1116,2026-04-10,2026-04-13,0.49069394097434604,3,9,False,False,True,False,102905.6953125,5284.023001138188,57.132946498003754,100432.95714742734,89864.91114515097,10568.046002276373,0.10522488137796589,1140,2026-05-18,138321.42474902523,TRAIL_STOP,24,3.585191396161283,3.573895344750974,5.470930277945307,-0.023161866694811406,BASE_5BP_SIDE,5.0,VALIDATION_2026_H1
KR,091160.KS,DAILY_5_20_CROSS,1158,2026-06-15,2026-06-16,0.6746611982012061,1,9,True,True,True,False,173050.0,10133.051828815282,63.21675877640841,175445.0,155178.89634236944,20266.103657630563,0.11551257463951987,1169,2026-06-30,173450.0,WINDOW_END,11,-0.09844023467475188,-0.10704808070904952,0.6570083833054242,-0.6806932517985975,BASE_5BP_SIDE,5.0,VALIDATION_2026_H1
KR,091160.KS,DAILY_5_20_CROSS,857,2025-03-19,2025-03-20,0.11166734242441345,3,9,False,True,False,False,33428.0859375,925.1378594721718,56.83293206391335,33763.05694701422,31912.781228069878,1850.2757189443437,0.05480178296201256,864,2025-03-28,31912.781228069878,INITIAL_STOP,7,-1.0,-1.0354951629655254,0.569735875333601,-1.1022037092667434,STRESS_10BP_SIDE,10.0,DEVELOPMENT_TO_2025
KR,091160.KS,DAILY_5_20_CROSS,974,2025-09-08,2025-09-09,0.18969886875178532,2,9,True,False,True,False,38145.04296875,753.1162913097376,60.151309881827096,38349.85593254884,36843.62334992937,1506.232582619472,0.03927609494201726,1011,2025-11-05,56043.16581006024,TRAIL_STOP,37,11.746731601530735,11.684063310569686,15.448260938233723,-0.03979801434898178,STRESS_10BP_SIDE,10.0,DEVELOPMENT_TO_2025
KR,091160.KS,DAILY_5_20_CROSS,1045,2025-12-23,2025-12-24,0.49946129241999615,1,9,False,True,True,False,58241.625,1659.097704485971,56.92170722930889,58631.267816014275,55313.07240704233,3318.195408971944,0.05659429742137739,1049,2025-12-30,61243.875,WINDOW_END,4,0.7873578442431675,0.7512312368432873,0.9077949249744023,-0.26646703464887805,STRESS_10BP_SIDE,10.0,DEVELOPMENT_TO_2025
KR,091160.KS,DAILY_5_20_CROSS,1116,2026-04-10,2026-04-13,0.49069394097434604,3,9,False,False,True,False,102905.6953125,5284.023001138188,57.132946498003754,100432.95714742734,89864.91114515097,10568.046002276373,0.10522488137796589,1140,2026-05-18,138321.42474902523,TRAIL_STOP,24,3.585191396161283,3.5625992933406647,5.470930277945307,-0.023161866694811406,STRESS_10BP_SIDE,10.0,VALIDATION_2026_H1
KR,091160.KS,DAILY_5_20_CROSS,1158,2026-06-15,2026-06-16,0.6746611982012061,1,9,True,True,True,False,173050.0,10133.051828815282,63.21675877640841,175445.0,155178.89634236944,20266.103657630563,0.11551257463951987,1169,2026-06-30,173450.0,WINDOW_END,11,-0.09844023467475188,-0.11565592674334715,0.6570083833054242,-0.6806932517985975,STRESS_10BP_SIDE,10.0,VALIDATION_2026_H1
KR,091180.KS,DAILY_5_20_CROSS,1027,2025-11-27,2025-11-28,0.11936935135087556,4,9,True,False,True,True,22052.720703125,505.7685774743765,62.41525286989648,22062.49643952673,21050.959284577977,1011.5371549487536,0.04584871697187013,1048,2025-12-29,23592.306580693712,MA20_NEXT_OPEN,21,1.5123617888702114,1.4897947468209585,3.208333584666024,-0.12079422409641587,BASE_5BP_SIDE,5.0,DEVELOPMENT_TO_2025
KR,091180.KS,DAILY_5_20_CROSS,1052,2026-01-06,2026-01-07,0.27814920103052265,3,9,False,True,True,False,24335.216796875,637.9109444770711,59.475728753234435,24335.216424745082,23276.42545520585,1058.7909695392336,0.043508590639145084,1067,2026-01-27,29809.3538008798,TRAIL_STOP,15,5.170177621100188,5.144608565553186,9.961719540799336,-0.09693980748453236,BASE_5BP_SIDE,5.0,VALIDATION_2026_H1
KR,091180.KS,DAILY_5_20_CROSS,1079,2026-02-12,2026-02-13,0.4651234844709413,3,9,True,True,True,True,32257.107421875,1177.3508923265488,63.74857155110731,32066.09284125642,29711.391056603323,2354.701784653098,0.07343276264776247,1089,2026-03-04,34204.54358324758,TRAIL_STOP,10,0.9081620254117233,0.894090044650417,2.9099503787694347,-1.2812935423741818,BASE_5BP_SIDE,5.0,VALIDATION_2026_H1
KR,091180.KS,DAILY_5_20_CROSS,1027,2025-11-27,2025-11-28,0.11936935135087556,4,9,True,False,True,True,22052.720703125,505.7685774743765,62.41525286989648,22062.49643952673,21050.959284577977,1011.5371549487536,0.04584871697187013,1048,2025-12-29,23592.306580693712,MA20_NEXT_OPEN,21,1.5123617888702114,1.4672277047717055,3.208333584666024,-0.12079422409641587,STRESS_10BP_SIDE,10.0,DEVELOPMENT_TO_2025
KR,091180.KS,DAILY_5_20_CROSS,1052,2026-01-06,2026-01-07,0.27814920103052265,3,9,False,True,True,False,24335.216796875,637.9109444770711,59.475728753234435,24335.216424745082,23276.42545520585,1058.7909695392336,0.043508590639145084,1067,2026-01-27,29809.3538008798,TRAIL_STOP,15,5.170177621100188,5.119039510006185,9.961719540799336,-0.09693980748453236,STRESS_10BP_SIDE,10.0,VALIDATION_2026_H1
