version,paper_universe,setup_id,ticker,confirm_time_utc,observed_run_time_utc,theoretical_next_bar_time_utc,theoretical_next_bar_open,structural_stop,level,level_touches,breakout_i,retest_i,confirm_i,entry_i,status,note
v0.24,US147_FROZEN_2026-08-09,NLEVEL_RR|KMI|2T|826|827|828,KMI,2026-08-11 15:30:00+00:00,2026-08-19 21:50:30.507917+00:00,2026-08-11 16:30:00+00:00,31.565000534057617,30.716193954471237,31.394999504089355,2,826,827,828,829,ENTRY_BAR_ALREADY_AVAILABLE,Prospective shadow signal only; no order placed.
v0.24,US147_FROZEN_2026-08-09,NLEVEL_RR|KMI|3T|843|847|849,KMI,2026-08-14 15:30:00+00:00,2026-08-19 21:50:30.507917+00:00,2026-08-14 16:30:00+00:00,32.65999984741211,31.5219487621778,32.27880096435547,3,843,847,849,850,ENTRY_BAR_ALREADY_AVAILABLE,Prospective shadow signal only; no order placed.
v0.24,US147_FROZEN_2026-08-09,NLEVEL_RR|KMI|3T|861|863|865,KMI,2026-08-18 17:30:00+00:00,2026-08-19 21:50:30.507917+00:00,2026-08-18 18:30:00+00:00,32.95000076293945,32.463956433228574,32.77000045776367,3,861,863,865,866,ENTRY_BAR_ALREADY_AVAILABLE,Prospective shadow signal only; no order placed.
v0.24,US147_FROZEN_2026-08-09,NLEVEL_RR|WMB|6T|847|848|849,WMB,2026-08-14 15:30:00+00:00,2026-08-19 21:50:30.507917+00:00,2026-08-14 16:30:00+00:00,74.5199966430664,72.92219956082745,73.8849983215332,6,847,848,849,850,ENTRY_BAR_ALREADY_AVAILABLE,Prospective shadow signal only; no order placed.
v0.24,US147_FROZEN_2026-08-09,NLEVEL_RR|WMB|2T|861|863|864,WMB,2026-08-18 16:30:00+00:00,2026-08-19 21:50:30.507917+00:00,2026-08-18 17:30:00+00:00,75.4000015258789,73.94009980194849,74.74319839477539,2,861,863,864,865,ENTRY_BAR_ALREADY_AVAILABLE,Prospective shadow signal only; no order placed.
v0.24,US147_FROZEN_2026-08-09,NLEVEL_RR|HAL|2T|824|825|826,HAL,2026-08-11 13:30:00+00:00,2026-08-19 21:50:30.507917+00:00,2026-08-11 14:30:00+00:00,33.83000183105469,31.698964102128024,33.61344909667969,2,824,825,826,827,ENTRY_BAR_ALREADY_AVAILABLE,Prospective shadow signal only; no order placed.
v0.24,US147_FROZEN_2026-08-09,NLEVEL_RR|HAL|2T|847|848|850,HAL,2026-08-14 16:30:00+00:00,2026-08-19 21:50:30.507917+00:00,2026-08-14 17:30:00+00:00,34.47999954223633,32.60487051383509,33.95000076293945,2,847,848,850,851,ENTRY_BAR_ALREADY_AVAILABLE,Prospective shadow signal only; no order placed.
v0.24,US147_FROZEN_2026-08-09,NLEVEL_RR|STLD|2T|821|822|824,STLD,2026-08-10 18:30:00+00:00,2026-08-19 21:50:30.507917+00:00,2026-08-10 19:30:00+00:00,268.4700012207031,255.1916529793511,267.09999084472656,2,821,822,824,825,ENTRY_BAR_ALREADY_AVAILABLE,Prospective shadow signal only; no order placed.
v0.24,US147_FROZEN_2026-08-09,NLEVEL_RR|UNP|2T|855|860|861,UNP,2026-08-18 13:30:00+00:00,2026-08-19 21:50:30.507917+00:00,2026-08-18 14:30:00+00:00,301.260009765625,292.16584916110804,299.7250061035156,2,855,860,861,862,ENTRY_BAR_ALREADY_AVAILABLE,Prospective shadow signal only; no order placed.
v0.24,US147_FROZEN_2026-08-09,NLEVEL_RR|NSC|2T|840|842|844,NSC,2026-08-13 17:30:00+00:00,2026-08-19 21:50:30.507917+00:00,2026-08-13 18:30:00+00:00,339.69000244140625,332.0751757978528,338.3300018310547,2,840,842,844,845,ENTRY_BAR_ALREADY_AVAILABLE,Prospective shadow signal only; no order placed.
v0.24,US147_FROZEN_2026-08-09,NLEVEL_RR|TT|2T|842|843|844,TT,2026-08-13 17:30:00+00:00,2026-08-19 21:50:30.507917+00:00,2026-08-13 18:30:00+00:00,482.26611328125,478.8106242172493,480.60499572753906,2,842,843,844,845,ENTRY_BAR_ALREADY_AVAILABLE,Prospective shadow signal only; no order placed.
v0.24,US147_FROZEN_2026-08-09,NLEVEL_RR|SNPS|2T|848|849|850,SNPS,2026-08-14 16:30:00+00:00,2026-08-19 21:50:30.507917+00:00,2026-08-14 17:30:00+00:00,422.8399963378906,402.7764009931309,415.3699951171875,2,848,849,850,851,ENTRY_BAR_ALREADY_AVAILABLE,Prospective shadow signal only; no order placed.
v0.24,US147_FROZEN_2026-08-09,NLEVEL_RR|NOW|2T|862|863|864,NOW,2026-08-18 16:30:00+00:00,2026-08-19 21:50:30.507917+00:00,2026-08-18 17:30:00+00:00,120.75499725341797,117.17939399341014,119.81999969482422,2,862,863,864,865,ENTRY_BAR_ALREADY_AVAILABLE,Prospective shadow signal only; no order placed.
v0.24,US147_FROZEN_2026-08-09,NLEVEL_RR|PYPL|2T|825|829|830,PYPL,2026-08-11 17:30:00+00:00,2026-08-19 21:50:30.507917+00:00,2026-08-11 18:30:00+00:00,58.994998931884766,58.28431732364324,58.77495002746582,2,825,829,830,831,ENTRY_BAR_ALREADY_AVAILABLE,Prospective shadow signal only; no order placed.
