ticker,closed_bars,setups_in_window,new_signals,latest_setup_confirm_utc
TFC,872,19,1,2026-08-14 13:30:00+00:00
AIG,872,14,0,2026-08-05 13:30:00+00:00
MET,872,17,1,2026-08-13 19:30:00+00:00
PRU,872,13,0,2026-08-13 16:30:00+00:00
AFL,872,18,0,2026-08-06 19:30:00+00:00
PSX,872,16,0,2026-07-31 16:30:00+00:00
OXY,872,14,0,2026-08-10 16:30:00+00:00
KMI,872,18,1,2026-08-14 15:30:00+00:00
WMB,872,15,1,2026-08-14 15:30:00+00:00
HAL,872,14,0,2026-08-11 13:30:00+00:00
NEM,872,10,0,2026-08-04 13:30:00+00:00
FCX,872,14,0,2026-08-04 13:30:00+00:00
NUE,872,9,0,2026-08-03 19:30:00+00:00
STLD,872,11,0,2026-08-10 18:30:00+00:00
MLM,872,10,0,2026-07-28 16:30:00+00:00
VMC,872,13,0,2026-08-03 19:30:00+00:00
UNP,872,14,0,2026-08-12 15:30:00+00:00
NSC,872,15,0,2026-08-13 17:30:00+00:00
CARR,872,13,0,2026-08-03 19:30:00+00:00
TT,872,21,0,2026-08-13 17:30:00+00:00
ROK,872,14,0,2026-07-30 16:30:00+00:00
PCAR,872,15,0,2026-07-21 15:30:00+00:00
FAST,872,18,0,2026-07-31 19:30:00+00:00
ADSK,872,13,0,2026-08-07 13:30:00+00:00
CDNS,872,12,0,2026-08-04 16:30:00+00:00
SNPS,872,8,0,2026-07-31 15:30:00+00:00
NOW,872,10,0,2026-07-29 13:30:00+00:00
PYPL,872,11,0,2026-08-11 17:30:00+00:00
