ticker,setup_id,event,model_time,model_price,intraday_interval
029|035420.KS,KRLEVEL_RR|035420|5T|4316|4317|4319,ENTRY,2026-08-03 01:00:00+00:00,206500.0,NONE
029|035420.KS,KRLEVEL_RR|035420|5T|4316|4317|4319,EXIT,2026-08-07 00:00:00+00:00,219500.0,NONE
