lever,start,end,ending_equity,return_pct,cagr,max_dd,calmar,longest_dd_days,switches,fees
TQQQ,2010-02-11,2026-08-10,3589809.7601035633,357.98097601035636,0.4286212681544883,0.8165984695732476,0.5248862006543862,1108,0,0.0
TECL,2008-12-30,2026-08-10,8601048.24758823,859.104824758823,0.4677062038181683,0.7795580193525353,0.5999633025475427,896,0,0.0
SOXL,2010-03-11,2026-08-10,2163550.748366181,215.3550748366181,0.38753902795616324,0.9046051426914523,0.42840683704619087,1520,0,0.0
